1736342840.296755227	Controller Area Network, Ext. ID: 715 (0x000002cb), Length: 5	3c9f960043
1736342840.296767987	Controller Area Network, Ext. ID: 188 (0x000000bc), Length: 8	000011fe51ff0023
1736342840.296780067	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.296792368	Controller Area Network, Ext. ID: 180 (0x000000b4), Length: 8	00000000000000bc
1736342840.296804098	Controller Area Network, Ext. ID: 566 (0x00000236), Length: 5	27ff030066
1736342840.296816138	Controller Area Network, Ext. ID: 713 (0x000002c9), Length: 8	000da70288000011
1736342840.296827688	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.296839789	Controller Area Network, Ext. ID: 166 (0x000000a6), Length: 8	00000040000000ee
1736342840.296852499	Controller Area Network, Ext. ID: 581 (0x00000245), Length: 5	000000004c
1736342840.296864569	Controller Area Network, Ext. ID: 296 (0x00000128), Length: 8	0000100000000041
1736342840.296876760	Controller Area Network, Ext. ID: 298 (0x0000012a), Length: 7	00000000000032
1736342840.296888570	Controller Area Network, Ext. ID: 583 (0x00000247), Length: 7	06008000000000
1736342840.296900230	Controller Area Network, Ext. ID: 1181 (0x0000049d), Length: 8	8989023e7cfe4780
1736342840.296912030	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.296923831	Controller Area Network, Ext. ID: 301 (0x0000012d), Length: 8	7fff7fff7fffffaf
1736342840.296935531	Controller Area Network, Ext. ID: 293 (0x00000125), Length: 7	f000000000001d
1736342840.296947431	Controller Area Network, Ext. ID: 302 (0x0000012e), Length: 7	7fff7fff7fffb0
1736342840.296958901	Controller Area Network, Ext. ID: 303 (0x0000012f), Length: 8	ff7fff7fff7fffb1
1736342840.296970942	Controller Area Network, Ext. ID: 183 (0x000000b7), Length: 8	0000000000000000
1736342840.296982692	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.296994732	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297006722	Controller Area Network, Ext. ID: 840 (0x00000348), Length: 8	00020000002c0485
1736342840.297018603	Controller Area Network, Ext. ID: 1568 (0x00000620), Length: 8	10000000f0000810
1736342840.297030643	Controller Area Network, Ext. ID: 164 (0x000000a4), Length: 8	40000000000000ec
1736342840.297042693	Controller Area Network, Ext. ID: 295 (0x00000127), Length: 8	00100008000161aa
1736342840.297054333	Controller Area Network, Ext. ID: 466 (0x000001d2), Length: 8	990402aa028800ae
1736342840.297065874	Controller Area Network, Ext. ID: 188 (0x000000bc), Length: 8	000011fe51ff0023
1736342840.297077784	Controller Area Network, Ext. ID: 860 (0x0000035c), Length: 8	00800000000000e7
1736342840.297089344	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297100924	Controller Area Network, Ext. ID: 467 (0x000001d3), Length: 8	0028000000000004
1736342840.297112555	Controller Area Network, Ext. ID: 166 (0x000000a6), Length: 8	00000040000000ee
1736342840.297124715	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.297136555	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297148095	Controller Area Network, Ext. ID: 970 (0x000003ca), Length: 6	0020000000f3
1736342840.297170506	Controller Area Network, Ext. ID: 296 (0x00000128), Length: 8	0000100000000041
1736342840.297184426	Controller Area Network, Ext. ID: 298 (0x0000012a), Length: 7	00000000000032
1736342840.297197177	Controller Area Network, Ext. ID: 183 (0x000000b7), Length: 8	0000000000000000
1736342840.297209287	Controller Area Network, Ext. ID: 580 (0x00000244), Length: 8	1100ffff0000005d
1736342840.297222267	Controller Area Network, Ext. ID: 301 (0x0000012d), Length: 8	7fff7fff7fffffaf
1736342840.297234227	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297246518	Controller Area Network, Ext. ID: 293 (0x00000125), Length: 7	f000000000001d
1736342840.297259108	Controller Area Network, Ext. ID: 302 (0x0000012e), Length: 7	7fff7fff7fffb0
1736342840.297270838	Controller Area Network, Ext. ID: 303 (0x0000012f), Length: 8	ff7fff7fff7fffb1
1736342840.297282588	Controller Area Network, Ext. ID: 164 (0x000000a4), Length: 8	40000000000000ec
1736342840.297294359	Controller Area Network, Ext. ID: 188 (0x000000bc), Length: 8	000011fe51ff0023
1736342840.297306429	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.297318019	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000100000004a
1736342840.297329559	Controller Area Network, Ext. ID: 180 (0x000000b4), Length: 8	00000000000000bc
1736342840.297341440	Controller Area Network, Ext. ID: 581 (0x00000245), Length: 5	000000004c
1736342840.297353250	Controller Area Network, Ext. ID: 566 (0x00000236), Length: 5	27ff030066
1736342840.297364870	Controller Area Network, Ext. ID: 166 (0x000000a6), Length: 8	00000040000000ee
1736342840.297376730	Controller Area Network, Ext. ID: 295 (0x00000127), Length: 8	00100008000161aa
1736342840.297388381	Controller Area Network, Ext. ID: 583 (0x00000247), Length: 7	06008000000000
1736342840.297400261	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297412011	Controller Area Network, Ext. ID: 715 (0x000002cb), Length: 5	3c9f960043
1736342840.297423782	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.297435422	Controller Area Network, Ext. ID: 183 (0x000000b7), Length: 8	0000000000000000
1736342840.297446972	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297458712	Controller Area Network, Ext. ID: 713 (0x000002c9), Length: 8	000da70288000011
1736342840.297470383	Controller Area Network, Ext. ID: 752 (0x000002f0), Length: 4	1000fa00
1736342840.297482773	Controller Area Network, Ext. ID: 298 (0x0000012a), Length: 7	00000000000032
1736342840.297494393	Controller Area Network, Ext. ID: 296 (0x00000128), Length: 8	0000100000000041
1736342840.297506213	Controller Area Network, Ext. ID: 164 (0x000000a4), Length: 8	40000000000000ec
